2026-04-05 23:11:33,931 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:13:25,605 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:15:58,750 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:16:49,711 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:20:07,564 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:21:53,093 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:22:31,100 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:29:40,943 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:36:17,375 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:39:59,044 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:40:44,274 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:42:55,452 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:43:29,730 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-05 23:49:03,613 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-07 12:41:41,479 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-07 12:46:20,442 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-07 12:50:26,746 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-07 12:51:08,897 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
2026-04-07 12:57:26,919 - INFO - 联合训练 + 梯度促进 | lambda_seg=0.5, lambda_align=0.1
